acc_date,type,reg,operator,fat,location,dmg,plane_type
2022-01-03 00:00:00,British Aerospace 4121 Jetstream 41,ZS-NRJ,SA Airlink,0.0,near Venetia Mine Airport,sub,BRITISH AEROSPACE 4121 JETSTREAM 41
2022-01-04 00:00:00,British Aerospace 3101 Jetstream 31,HR-AYY,LANHSA - Línea Aérea Nacional de Honduras S.A,0.0,Roatán-Juan Manuel Gálvez International Airport (RTB),sub,BRITISH AEROSPACE 3101 JETSTREAM 31
2022-01-05 00:00:00,Boeing 737-4H6,EP-CAP,Caspian Airlines,0.0,Isfahan-Shahid Beheshti Airport (IFN),sub,BOEING 737-4H6
2022-01-08 00:00:00,Tupolev Tu-204-100C,RA-64032,"Cainiao, opb Aviastar-TU",0.0,Hangzhou Xiaoshan International Airport (HGH),w/o,TUPOLEV TU-204-100C
2022-01-12 00:00:00,Beechcraft 200 Super King Air,UNKNOWN,private,0.0,"Machakilha, Toledo District, Grahem Creek area",w/o,BEECHCRAFT 200 SUPER KING AIR
2022-01-16 00:00:00,Airbus A320-214 (WL),JA24MC,Star Flyer,0.0,near Okayama City,non,AIRBUS A320-214 (WL)
2022-01-19 00:00:00,Cessna 208B Grand Caravan EX,YV3033,Mahan Air,0.0,"near Vakilabad, Arzuiyeh",sub,CESSNA 208B GRAND CARAVAN EX
2022-01-22 00:00:00,Airbus A320-232,N760JB,JetBlue Airways,0.0,"Hayden-Yampa Valley Airport, CO (HDN)",sub,AIRBUS A320-232
2022-01-27 00:00:00,Bombardier CL-600-2B16 Challenger 604,2-SLOW,Volare Aviation,0.0,Heraklion-N. Kazantzakis Airport (HER/LGIR),sub,BOMBARDIER CL-600-2B16 CHALLENGER 604
2022-01-31 00:00:00,Bombardier CL-600-2B16 Challenger 604,N999PX,Lima Delta Co Trustee,0.0,London-Stansted Airport (STN),sub,BOMBARDIER CL-600-2B16 CHALLENGER 604
2022-01-31 00:00:00,Beechcraft B300 King Air 350,C-GEAS,"Air Tindi, opf Royal Canadian Air Force - RCAF",0.0,"Thunder Bay Airport, ON (YQT)",sub,BEECHCRAFT B300 KING AIR 350
2022-02-02 00:00:00,Hawker 1000,N207K,Skyview LLC,0.0,"Islip-Long Island MacArthur Airport, NY (ISP)",sub,HAWKER 1000
2022-02-05 00:00:00,Cessna 208B Grand Caravan,5H-TAZ,Care Aviation,0.0,New Fangak Airstrip,sub,CESSNA 208B GRAND CARAVAN
2022-02-07 00:00:00,Embraer ERJ-190-100LR,OH-LKK,Finnair,0.0,København-Kastrup Airport (CPH),sub,EMBRAER ERJ-190-100LR
2022-02-08 00:00:00,Antonov An-26,SP-402,South Sudanese Air Force,0.0,Agok Airstrip,sub,ANTONOV AN-26
2022-02-11 00:00:00,Cessna 501 Citation I/SP,LV-JUO,Aviajet SA,0.0,"Morón-Ituzaingo Airport, BA",sub,CESSNA 501 CITATION I/SP
